Názov / Popis,Adresa,Mesto,PSČ,IČO,DIČ,IČ DPH,Email,Telefón,Bankový účet
"2day, s. r. o.",Devätinova 54,Bratislava,821 06,44981082,2022903949,SK2022903949,,,
Alza.cz a.s.,Jateční 33,Praha 7,170 00,27082440,,SK4020121402,,,
Alza.sk s. r. o.,Prievozská 18,Bratislava,821 09,36562939,2021863811,SK2021863811,,,
"ANDREA SHOP, s.r.o.",Galantská cesta 5855/22,Dunajská Streda,929 01,36277151,2022093601,SK2022093601,,,
"AUTOPOLIS, s.r.o.",Panónska cesta 32,Bratislava,851 04,35728311,2020241938,SK2020241938,,,
BDSK s.r.o.,Michalská 7,Bratislava-Staré Mesto,811 01,47 091 461,2023735901,SK2023735901,m.paulusova@camitslovakia.sk,+421 2 59103700,
"Credium Slovakia, a.s.",Einsteinova 21,Bratislava,852 86,35845490,2020288534,SK2020288534,,,
Edenred Slovakia s.r.o.,Karadžičova 8,Bratislava 215,820 15,31328695,2020312294,SK2020312294,,,2675000390/1100
"JK TAX, s.r.o.",Znievska 13,Bratislava 5,851 06,46101756,2023382240,SK2023382240,kontakt@spracovanieuctovnictva.com,+421907707062,2927866570/1100
Mohamad El - Tabbaa,Drietoma 522,Drietoma,913 03,41445350,,,,,
"Net Sales, s. r. o.,",Elektrárenská 4,Bratislava,831 04,45697655,2023099793,SK2023099793,info@shoppie.sk,,
Peter Orichel - AUTOHILFE,Hutnícka 958/9,Bratislava-Devín,84110,45885052,,,,,
Rozpoctova Organizacia Ministerstva Vnutra SR,Pribinova 2,Bratislava,81272,,,,,,7000180314/8180
"Slovak Telekom, a.s.",Bajkalská 28,Bratislava,817 62,35763 469,2020273893,SK2020273893,,0800 123 456,0025505443/7500
"superfaktura.sk, s.r.o.",Devätinova 54,Bratislava,821 06,46655034,2023513470,SK2023513470,,,2925875860/1100
Tatra banka,Hodžovo námestie 3,Bratislava,811 06,686930,2020408522,SK2020408522,,,
TRIAD s.r.o.,Brigádnicka 27,Bratislava 46,841 10,35931141,2021990289,SK2021990289,marek.mrazik@triad.sk,,1983860056/0200
vibration s. r. o.,Štefánikova 29,Bratislava,811 01,46409157,2023366180,SK2023366180,,,
